workerid,proliferate.condition,condition,first_response_value,item_number,item_type,lexicalization,response,sentence,trial_sequence_total,unique_id,wrong_attempts,error
37,Experiment Group,ungrammatical,,,filler,1016,0.99,The sore the athlete massages muscles,23,1016,,
37,Experiment Group,human,,,test,10,0.99,The man encloses the backyard,24,101,,
37,Experiment Group,ungrammatical,,,filler,1017,1,The steady the sails captain ship,25,1017,,
37,Experiment Group,human,,,test,2,0.99,The girl contains all the marbles,26,21,,
37,Experiment Group,grammatical,,,filler,1002,0.99,The musician plays the lovely violin,27,1002,,
37,Experiment Group,nonhuman,,,test,12,0.97,The kitchen features the brick oven,28,122,,
37,Experiment Group,ungrammatical,,,filler,1014,0.66,The secret protects lock the safe,29,1014,,
37,Experiment Group,grammatical,,,filler,1012,0.89,The basket holds the expensive cheeses,30,1012,,
37,Experiment Group,ungrammatical,,,filler,1021,0.68,The broken fixes truck engineer the,31,1021,,
37,Experiment Group,ungrammatical,,,filler,1023,0.9,The acclaimed honors artists gala the,32,1023,,
37,Experiment Group,nonhuman,,,test,4,0.84,The intricate competition routine includes Spanish flamenco,33,42,,
37,Experiment Group,grammatical,,,filler,1007,0.79,The librarian shelves the heavy book,34,1007,,
37,Experiment Group,grammatical,,,filler,1011,0.86,The hammer smashes the fragile glass,35,1011,,
37,Experiment Group,nonhuman,,,test,3,0.69,The baked Alaska is composed of ice cream and meringue,36,32,,
18,Experiment Group,,,practice_good,practice_good,,0.99,,0,,0,
18,Experiment Group,,,practice_bad,practice_bad,,0,,0,,0,
18,Experiment Group,nonhuman,,,test,10,1,The old fence encloses the backyard,1,102,,
18,Experiment Group,ungrammatical,,,filler,1016,0,The sore the athlete massages muscles,2,1016,,
18,Experiment Group,ungrammatical,,,filler,1019,0,The difficult grades exam assistant the teaching,3,1019,,
18,Experiment Group,grammatical,,,filler,1002,1,The musician plays the lovely violin,4,1002,,
18,Experiment Group,grammatical,,,filler,1007,0.86,The librarian shelves the heavy book,5,1007,,
18,Experiment Group,human,,,test,2,0.9,The girl contains all the marbles,6,21,,
18,Experiment Group,ungrammatical,,,filler,1013,0,The messy cleans student room the,7,1013,,
18,Experiment Group,grammatical,,,filler,1005,0.99,The wrecking ball demolishes the decrepit building,8,1005,,
18,Experiment Group,human,,,test,5,0.94,The environmentalist runs on clean energy,9,51,,
18,Experiment Group,ungrammatical,,,filler,1014,0,The secret protects lock the safe,10,1014,,
18,Experiment Group,ungrammatical,,,filler,1015,0.01,The wet heats dryer the clothes,11,1015,,
18,Experiment Group,nonhuman,,,test,9,0.98,The new dormitory houses only international students,12,92,,
18,Experiment Group,ungrammatical,,,filler,1020,0,The valuable the shelf jewelry stores,13,1020,,
18,Experiment Group,nonhuman,,,test,11,0.98,The mountain territories span the peaceful countryside,14,112,,
18,Experiment Group,grammatical,,,filler,1009,0.98,The knight protects the guarded fortress,15,1009,,
18,Experiment Group,grammatical,,,filler,1006,0.98,The horse chews the sweet apple,16,1006,,
18,Experiment Group,grammatical,,,filler,1003,0.98,The woman washes the dirty dishes,17,1003,,
18,Experiment Group,ungrammatical,,,filler,1018,0,The dangerous mixes chemicals scientist the,18,1018,,
18,Experiment Group,human,,,test,4,0.96,The dancer includes Spanish flamenco ,19,41,,
18,Experiment Group,ungrammatical,,,filler,1023,0.01,The acclaimed honors artists gala the,20,1023,,
18,Experiment Group,grammatical,,,filler,1001,0.98,The gopher chases the fearful rabbit,21,1001,,
18,Experiment Group,nonhuman,,,test,6,0.99,The moon orbits the newly discovered planet,22,62,,
18,Experiment Group,grammatical,,,filler,1010,0.99,The editor mentors the stressed writer,23,1010,,
18,Experiment Group,ungrammatical,,,filler,1024,0.01,The blank the painter canvas admires,24,1024,,
18,Experiment Group,grammatical,,,filler,1012,0.98,The basket holds the expensive cheeses,25,1012,,
18,Experiment Group,nonhuman,,,test,12,0.5,The kitchen features the brick oven,26,122,,
18,Experiment Group,grammatical,,,filler,1004,0.99,The monkey eats the ripe banana,27,1004,,
18,Experiment Group,ungrammatical,,,filler,1017,0,The steady the sails captain ship,28,1017,,
18,Experiment Group,human,,,test,1,0.01,The author consists of 10 passages,29,11,,
18,Experiment Group,grammatical,,,filler,1008,0.99,The child plays the loud drums,30,1008,,
18,Experiment Group,human,,,test,8,0.96,The coach totals eight athletes,31,81,,
18,Experiment Group,grammatical,,,filler,1011,0.99,The hammer smashes the fragile glass,32,1011,,
18,Experiment Group,nonhuman,,,test,3,0.99,The baked Alaska is composed of ice cream and meringue,33,32,,
18,Experiment Group,ungrammatical,,,filler,1021,0.01,The broken fixes truck engineer the,34,1021,,
18,Experiment Group,human,,,test,7,0.5,The cartographer borders the coral reef,35,71,,
18,Experiment Group,ungrammatical,,,filler,1022,0.02,The dying the cable computer charges,36,1022,,
40,Experiment Group,,,practice_good,practice_good,,0.99,,0,,0,
40,Experiment Group,,,practice_bad,practice_bad,,0.02,,0,,0,
40,Experiment Group,grammatical,,,filler,1010,1,The editor mentors the stressed writer,1,1010,,
40,Experiment Group,human,,,test,11,0.11,The queen spans the peaceful countryside,2,111,,
40,Experiment Group,grammatical,,,filler,1011,1,The hammer smashes the fragile glass,3,1011,,
40,Experiment Group,nonhuman,,,test,8,0.98,The dedicated team totals eight athletes,4,82,,
40,Experiment Group,grammatical,,,filler,1009,0.98,The knight protects the guarded fortress,5,1009,,
40,Experiment Group,grammatical,,,filler,1004,0.99,The monkey eats the ripe banana,6,1004,,
40,Experiment Group,grammatical,,,filler,1006,0.96,The horse chews the sweet apple,7,1006,,
40,Experiment Group,human,,,test,3,0.03,The baker is composed of ice cream and meringue,8,31,,
40,Experiment Group,grammatical,,,filler,1008,0.99,The child plays the loud drums,9,1008,,
40,Experiment Group,ungrammatical,,,filler,1021,0,The broken fixes truck engineer the,10,1021,,
40,Experiment Group,nonhuman,,,test,4,0.97,The intricate competition routine includes Spanish flamenco,11,42,,
40,Experiment Group,grammatical,,,filler,1003,1,The woman washes the dirty dishes,12,1003,,
40,Experiment Group,nonhuman,,,test,12,0.5,The kitchen features the brick oven,13,122,,
40,Experiment Group,ungrammatical,,,filler,1024,0.02,The blank the painter canvas admires,14,1024,,
40,Experiment Group,human,,,test,5,0.33,The environmentalist runs on clean energy,15,51,,
40,Experiment Group,ungrammatical,,,filler,1018,0.03,The dangerous mixes chemicals scientist the,16,1018,,
40,Experiment Group,human,,,test,7,0.12,The cartographer borders the coral reef,17,71,,
40,Experiment Group,ungrammatical,,,filler,1022,0.02,The dying the cable computer charges,18,1022,,
40,Experiment Group,ungrammatical,,,filler,1013,0.03,The messy cleans student room the,19,1013,,
40,Experiment Group,nonhuman,,,test,2,0.99,The jar contains all the marbles,20,22,,
40,Experiment Group,ungrammatical,,,filler,1017,0.03,The steady the sails captain ship,21,1017,,
40,Experiment Group,grammatical,,,filler,1005,0.99,The wrecking ball demolishes the decrepit building,22,1005,,
40,Experiment Group,nonhuman,,,test,10,0.99,The old fence encloses the backyard,23,102,,
40,Experiment Group,grammatical,,,filler,1012,0.92,The basket holds the expensive cheeses,24,1012,,
40,Experiment Group,ungrammatical,,,filler,1019,0.02,The difficult grades exam assistant the teaching,25,1019,,
40,Experiment Group,grammatical,,,filler,1002,0.94,The musician plays the lovely violin,26,1002,,
40,Experiment Group,ungrammatical,,,filler,1016,0.02,The sore the athlete massages muscles,27,1016,,
40,Experiment Group,nonhuman,,,test,1,0.96,The new book consists of 10 passages,28,12,,
40,Experiment Group,ungrammatical,,,filler,1015,0.04,The wet heats dryer the clothes,29,1015,,
40,Experiment Group,ungrammatical,,,filler,1014,0.25,The secret protects lock the safe,30,1014,,
40,Experiment Group,grammatical,,,filler,1007,0.88,The librarian shelves the heavy book,31,1007,,
40,Experiment Group,human,,,test,6,0.97,The astronomer orbits the newly discovered planet,32,61,,
40,Experiment Group,ungrammatical,,,filler,1020,0.02,The valuable the shelf jewelry stores,33,1020,,
40,Experiment Group,ungrammatical,,,filler,1023,0.04,The acclaimed honors artists gala the,34,1023,,
40,Experiment Group,human,,,test,9,0.93,The girls house only international students,35,91,,
40,Experiment Group,grammatical,,,filler,1001,0.96,The gopher chases the fearful rabbit,36,1001,,
6,Experiment Group,,,practice_good,practice_good,,0.98,,0,,0,
6,Experiment Group,,,practice_bad,practice_bad,,0.01,,0,,0,
6,Experiment Group,ungrammatical,,,filler,1016,0.02,The sore the athlete massages muscles,1,1016,,
6,Experiment Group,ungrammatical,,,filler,1017,0.02,The steady the sails captain ship,2,1017,,
6,Experiment Group,ungrammatical,,,filler,1019,0.02,The difficult grades exam assistant the teaching,3,1019,,
6,Experiment Group,ungrammatical,,,filler,1014,0.01,The secret protects lock the safe,4,1014,,
6,Experiment Group,ungrammatical,,,filler,1023,0.02,The acclaimed honors artists gala the,5,1023,,
6,Experiment Group,grammatical,,,filler,1004,0.99,The monkey eats the ripe banana,6,1004,,
6,Experiment Group,human,,,test,2,0.13,The girl contains all the marbles,7,21,,
6,Experiment Group,grammatical,,,filler,1009,0.98,The knight protects the guarded fortress,8,1009,,
6,Experiment Group,nonhuman,,,test,12,0.92,The kitchen features the brick oven,9,122,,
6,Experiment Group,grammatical,,,filler,1012,0.9,The basket holds the expensive cheeses,10,1012,,
6,Experiment Group,human,,,test,11,0.99,The queen spans the peaceful countryside,11,111,,
6,Experiment Group,ungrammatical,,,filler,1021,0.01,The broken fixes truck engineer the,12,1021,,
6,Experiment Group,grammatical,,,filler,1011,0.98,The hammer smashes the fragile glass,13,1011,,
6,Experiment Group,nonhuman,,,test,8,0.84,The dedicated team totals eight athletes,14,82,,
6,Experiment Group,grammatical,,,filler,1006,0.99,The horse chews the sweet apple,15,1006,,
6,Experiment Group,nonhuman,,,test,9,0.99,The new dormitory houses only international students,16,92,,
6,Experiment Group,ungrammatical,,,filler,1013,0.02,The messy cleans student room the,17,1013,,
6,Experiment Group,human,,,test,3,0.75,The baker is composed of ice cream and meringue,18,31,,
6,Experiment Group,ungrammatical,,,filler,1022,0.01,The dying the cable computer charges,19,1022,,
6,Experiment Group,human,,,test,5,0.77,The environmentalist runs on clean energy,20,51,,
6,Experiment Group,grammatical,,,filler,1005,0.99,The wrecking ball demolishes the decrepit building,21,1005,,
6,Experiment Group,human,,,test,6,0.99,The astronomer orbits the newly discovered planet,22,61,,
6,Experiment Group,ungrammatical,,,filler,1024,0.02,The blank the painter canvas admires,23,1024,,
6,Experiment Group,grammatical,,,filler,1002,0.98,The musician plays the lovely violin,24,1002,,
6,Experiment Group,nonhuman,,,test,1,0.98,The new book consists of 10 passages,25,12,,
6,Experiment Group,ungrammatical,,,filler,1018,0.01,The dangerous mixes chemicals scientist the,26,1018,,
6,Experiment Group,nonhuman,,,test,7,0.89,The new island borders the coral reef,27,72,,
6,Experiment Group,ungrammatical,,,filler,1020,0.02,The valuable the shelf jewelry stores,28,1020,,
6,Experiment Group,grammatical,,,filler,1007,0.93,The librarian shelves the heavy book,29,1007,,
6,Experiment Group,human,,,test,10,0.75,The man encloses the backyard,30,101,,
6,Experiment Group,grammatical,,,filler,1010,0.99,The editor mentors the stressed writer,31,1010,,
6,Experiment Group,ungrammatical,,,filler,1015,0,The wet heats dryer the clothes,32,1015,,
6,Experiment Group,grammatical,,,filler,1001,0.99,The gopher chases the fearful rabbit,33,1001,,
6,Experiment Group,nonhuman,,,test,4,0.98,The intricate competition routine includes Spanish flamenco,34,42,,
6,Experiment Group,grammatical,,,filler,1008,0.99,The child plays the loud drums,35,1008,,
6,Experiment Group,grammatical,,,filler,1003,0.99,The woman washes the dirty dishes,36,1003,,
7,Experiment Group,,,practice_good,practice_good,,1,,0,,0,
7,Experiment Group,,,practice_bad,practice_bad,,0.01,,0,,0,
7,Experiment Group,human,,,test,10,0.25,The man encloses the backyard,1,101,,
7,Experiment Group,ungrammatical,,,filler,1021,0.01,The broken fixes truck engineer the,2,1021,,
7,Experiment Group,nonhuman,,,test,1,0.91,The new book consists of 10 passages,3,12,,
7,Experiment Group,ungrammatical,,,filler,1014,0.01,The secret protects lock the safe,4,1014,,
7,Experiment Group,grammatical,,,filler,1001,0.98,The gopher chases the fearful rabbit,5,1001,,
7,Experiment Group,human,,,test,5,0.17,The environmentalist runs on clean energy,6,51,,
7,Experiment Group,ungrammatical,,,filler,1015,0.02,The wet heats dryer the clothes,7,1015,,
7,Experiment Group,ungrammatical,,,filler,1017,0.02,The steady the sails captain ship,8,1017,,
7,Experiment Group,ungrammatical,,,filler,1020,0.02,The valuable the shelf jewelry stores,9,1020,,
7,Experiment Group,grammatical,,,filler,1009,0.99,The knight protects the guarded fortress,10,1009,,
7,Experiment Group,human,,,test,3,0.15,The baker is composed of ice cream and meringue,11,31,,
7,Experiment Group,ungrammatical,,,filler,1018,0.01,The dangerous mixes chemicals scientist the,12,1018,,
7,Experiment Group,ungrammatical,,,filler,1023,0,The acclaimed honors artists gala the,13,1023,,
7,Experiment Group,human,,,test,4,0.14,The dancer includes Spanish flamenco ,14,41,,
7,Experiment Group,grammatical,,,filler,1003,0.99,The woman washes the dirty dishes,15,1003,,
7,Experiment Group,human,,,test,9,0.02,The girls house only international students,16,91,,
7,Experiment Group,grammatical,,,filler,1005,1,The wrecking ball demolishes the decrepit building,17,1005,,
7,Experiment Group,nonhuman,,,test,8,0.99,The dedicated team totals eight athletes,18,82,,
7,Experiment Group,grammatical,,,filler,1012,0.99,The basket holds the expensive cheeses,19,1012,,
7,Experiment Group,grammatical,,,filler,1004,0.99,The monkey eats the ripe banana,20,1004,,
7,Experiment Group,nonhuman,,,test,6,0.99,The moon orbits the newly discovered planet,21,62,,
7,Experiment Group,ungrammatical,,,filler,1022,0.03,The dying the cable computer charges,22,1022,,
7,Experiment Group,nonhuman,,,test,7,0.98,The new island borders the coral reef,23,72,,
7,Experiment Group,grammatical,,,filler,1011,0.99,The hammer smashes the fragile glass,24,1011,,
7,Experiment Group,ungrammatical,,,filler,1013,0.02,The messy cleans student room the,25,1013,,
7,Experiment Group,ungrammatical,,,filler,1016,0.02,The sore the athlete massages muscles,26,1016,,
7,Experiment Group,ungrammatical,,,filler,1019,0.02,The difficult grades exam assistant the teaching,27,1019,,
7,Experiment Group,nonhuman,,,test,12,0.99,The kitchen features the brick oven,28,122,,
7,Experiment Group,ungrammatical,,,filler,1024,0,The blank the painter canvas admires,29,1024,,
7,Experiment Group,nonhuman,,,test,11,0.72,The mountain territories span the peaceful countryside,30,112,,
7,Experiment Group,grammatical,,,filler,1008,0.82,The child plays the loud drums,31,1008,,
7,Experiment Group,grammatical,,,filler,1002,0.99,The musician plays the lovely violin,32,1002,,
7,Experiment Group,grammatical,,,filler,1007,0.16,The librarian shelves the heavy book,33,1007,,
7,Experiment Group,grammatical,,,filler,1006,0.92,The horse chews the sweet apple,34,1006,,
7,Experiment Group,human,,,test,2,0.23,The girl contains all the marbles,35,21,,
7,Experiment Group,grammatical,,,filler,1010,0.99,The editor mentors the stressed writer,36,1010,,
44,Experiment Group,,,practice_good,practice_good,,0.97,,0,,0,
44,Experiment Group,,,practice_bad,practice_bad,,0.01,,0,,0,
44,Experiment Group,human,,,test,1,0.01,The author consists of 10 passages,1,11,,
44,Experiment Group,grammatical,,,filler,1010,0.98,The editor mentors the stressed writer,2,1010,,
44,Experiment Group,grammatical,,,filler,1007,0.96,The librarian shelves the heavy book,3,1007,,
44,Experiment Group,nonhuman,,,test,5,1,The car runs on clean energy,4,52,,
44,Experiment Group,grammatical,,,filler,1004,0.99,The monkey eats the ripe banana,5,1004,,
